filename,blue_percentage,black_percentage
9.webp,0.0253,89.9248
90.webp,0.0129,89.9197
900.webp,0.2606,89.9168
901.webp,0.0289,89.9226
902.webp,0.0213,89.9220
903.webp,0.0294,89.9169
904.webp,1.7185,90.0341
905.webp,0.0081,90.0440
906.webp,0.0137,89.9304
907.webp,0.0334,89.9214
908.webp,0.0213,89.9202
909.webp,0.0130,89.9217
91.webp,0.0075,89.9222
910.webp,0.0105,89.9237
911.webp,0.0138,89.9232
912.webp,0.0165,89.9221
913.webp,0.0110,89.9225
914.webp,0.0094,89.9206
915.webp,0.0182,89.9229
916.webp,0.0191,90.0403
917.webp,0.0082,89.9217
918.webp,0.0207,89.9214
919.webp,0.0353,89.9191
92.webp,0.0097,89.9258
920.webp,0.0179,90.1531
921.webp,0.0189,89.9245
922.webp,0.0097,89.9238
923.webp,0.0143,90.0375
924.webp,0.0192,89.9178
925.webp,0.0929,89.9155
926.webp,0.0069,89.9265
927.webp,0.0089,89.9234
928.webp,0.0128,89.9248
929.webp,0.0117,89.9308
93.webp,0.0311,89.9171
930.webp,0.0222,89.9159
931.webp,0.0110,89.9306
932.webp,0.0083,89.9189
